_id,date,center_name,attendance_count
49169706,2016-04-21,Ormsby Community Center,65
49169707,2016-04-21,Phillips Community Center,97
49169708,2016-04-21,Warrington Community Center,18
49169709,2016-04-21,West Penn Community Center,104
49169710,2016-04-21,Jefferson Community Center,46
49169711,2016-04-21,Magee Community Center,14
49169712,2016-04-20,Arlington Community Center,42
49169713,2016-04-20,Ammon Community Center,66
49169714,2016-04-20,Brookline Community Center,98
49169715,2016-04-20,Ormsby Community Center,43
49169716,2016-04-20,Paulson Community Center,23
49169717,2016-04-20,Phillips Community Center,90
49169718,2016-04-20,West Penn Community Center,70
49169719,2016-04-20,Warrington Community Center,24
49169720,2016-04-20,Magee Community Center,39
49169721,2016-04-20,Jefferson Community Center,27
49169722,2016-04-19,Ammon Community Center,196
49169723,2016-04-19,Arlington Community Center,38
49169724,2016-04-19,Brookline Community Center,159
49169725,2016-04-19,Paulson Community Center,26
49169726,2016-04-19,Ormsby Community Center,63
49169727,2016-04-19,Phillips Community Center,94
49169728,2016-04-19,Warrington Community Center,40
49169729,2016-04-19,West Penn Community Center,91
49169730,2016-04-19,Jefferson Community Center,27
49169731,2016-04-19,Magee Community Center,61
49169732,2016-04-18,Arlington Community Center,94
49169733,2016-04-18,Ammon Community Center,154
49169734,2016-04-18,Brookline Community Center,94
49169735,2016-04-18,Ormsby Community Center,42
49169736,2016-04-18,Paulson Community Center,27
49169737,2016-04-18,Phillips Community Center,127
49169738,2016-04-18,West Penn Community Center,72
49169739,2016-04-18,Warrington Community Center,21
49169740,2016-04-18,Magee Community Center,40
49169741,2016-04-18,Jefferson Community Center,43
49169742,2016-04-16,Brookline Community Center,60
49169743,2016-04-16,Phillips Community Center,26
49169744,2016-04-16,West Penn Community Center,36
49169745,2016-04-16,Magee Community Center,15
49169746,2016-04-15,Ammon Community Center,118
49169747,2016-04-15,Arlington Community Center,25
49169748,2016-04-15,Brookline Community Center,109
49169749,2016-04-15,Paulson Community Center,21
49169750,2016-04-15,Ormsby Community Center,46
49169751,2016-04-15,Phillips Community Center,78
49169752,2016-04-15,West Penn Community Center,38
49169753,2016-04-15,Magee Community Center,49
49169754,2016-04-15,Jefferson Community Center,33
49169755,2016-04-14,Arlington Community Center,47
49169756,2016-04-14,Ammon Community Center,173
49169757,2016-04-14,Brookline Community Center,128
49169758,2016-04-14,Ormsby Community Center,69
49169759,2016-04-14,Paulson Community Center,26
49169760,2016-04-14,Phillips Community Center,103
49169761,2016-04-14,West Penn Community Center,129
49169762,2016-04-14,Warrington Community Center,20
49169763,2016-04-14,Jefferson Community Center,31
49169764,2016-04-14,Magee Community Center,29
49169765,2016-04-13,Ammon Community Center,137
49169766,2016-04-13,Arlington Community Center,141
49169767,2016-04-13,Brookline Community Center,101
49169768,2016-04-13,Paulson Community Center,14
49169769,2016-04-13,Ormsby Community Center,45
49169770,2016-04-13,Phillips Community Center,132
49169771,2016-04-13,West Penn Community Center,64
49169772,2016-04-13,Magee Community Center,34
49169773,2016-04-13,Jefferson Community Center,34
49169774,2016-04-12,Arlington Community Center,58
49169775,2016-04-12,Ammon Community Center,127
49169776,2016-04-12,Brookline Community Center,143
49169777,2016-04-12,Ormsby Community Center,60
49169778,2016-04-12,Paulson Community Center,37
49169779,2016-04-12,Phillips Community Center,102
49169780,2016-04-12,West Penn Community Center,94
49169781,2016-04-12,Jefferson Community Center,24
49169782,2016-04-12,Magee Community Center,49
49169783,2016-04-11,Ammon Community Center,194
49169784,2016-04-11,Arlington Community Center,53
49169785,2016-04-11,Brookline Community Center,108
49169786,2016-04-11,Paulson Community Center,29
49169787,2016-04-11,Ormsby Community Center,64
49169788,2016-04-11,Phillips Community Center,127
49169789,2016-04-11,West Penn Community Center,102
49169790,2016-04-11,Warrington Community Center,42
49169791,2016-04-11,Magee Community Center,59
49169792,2016-04-11,Jefferson Community Center,30
49169793,2016-04-09,Brookline Community Center,40
49169794,2016-04-09,Ormsby Community Center,21
49169795,2016-04-09,Phillips Community Center,47
49169796,2016-04-09,West Penn Community Center,32
49169797,2016-04-09,Magee Community Center,31
49169798,2016-04-08,Arlington Community Center,20
49169799,2016-04-08,Ammon Community Center,87
49169800,2016-04-08,Brookline Community Center,107
49169801,2016-04-08,Ormsby Community Center,37
49169802,2016-04-08,Paulson Community Center,21
49169803,2016-04-08,Phillips Community Center,95
49169804,2016-04-08,West Penn Community Center,50
49169805,2016-04-08,Warrington Community Center,30
49169806,2016-04-08,Magee Community Center,53
49169807,2016-04-08,Jefferson Community Center,22
49169808,2016-04-07,Ammon Community Center,149
49169809,2016-04-07,Arlington Community Center,49
49169810,2016-04-07,Brookline Community Center,153
49169811,2016-04-07,Paulson Community Center,47
49169812,2016-04-07,Ormsby Community Center,71
49169813,2016-04-07,Phillips Community Center,86
49169814,2016-04-07,Warrington Community Center,27
49169815,2016-04-07,West Penn Community Center,141
49169816,2016-04-07,Jefferson Community Center,30
49169817,2016-04-07,Magee Community Center,38
49169818,2016-04-06,Arlington Community Center,14
49169819,2016-04-06,Ammon Community Center,156
49169820,2016-04-06,Brookline Community Center,144
49169821,2016-04-06,Ormsby Community Center,43
49169822,2016-04-06,Paulson Community Center,22
49169823,2016-04-06,Phillips Community Center,93
49169824,2016-04-06,West Penn Community Center,59
49169825,2016-04-06,Warrington Community Center,38
49169826,2016-04-06,Magee Community Center,19
49169827,2016-04-06,Jefferson Community Center,36
49169828,2016-04-05,Ammon Community Center,138
49169829,2016-04-05,Arlington Community Center,74
49169830,2016-04-05,Brookline Community Center,173
49169831,2016-04-05,Paulson Community Center,43
49169832,2016-04-05,Ormsby Community Center,49
49169833,2016-04-05,Phillips Community Center,96
49169834,2016-04-05,Warrington Community Center,31
49169835,2016-04-05,West Penn Community Center,66
49169836,2016-04-05,Jefferson Community Center,33
49169837,2016-04-05,Magee Community Center,50
49169838,2016-04-04,Arlington Community Center,15
49169839,2016-04-04,Ammon Community Center,127
49169840,2016-04-04,Brookline Community Center,97
49169841,2016-04-04,Ormsby Community Center,52
49169842,2016-04-04,Paulson Community Center,31
49169843,2016-04-04,Phillips Community Center,111
49169844,2016-04-04,West Penn Community Center,72
49169845,2016-04-04,Warrington Community Center,31
49169846,2016-04-04,Magee Community Center,39
49169847,2016-04-04,Jefferson Community Center,29
49169848,2016-04-02,Brookline Community Center,50
49169849,2016-04-02,Ormsby Community Center,16
49169850,2016-04-02,Phillips Community Center,32
49169851,2016-04-02,West Penn Community Center,32
49169852,2016-04-02,Magee Community Center,28
49169853,2016-04-01,Ammon Community Center,52
49169854,2016-04-01,Arlington Community Center,19
49169855,2016-04-01,Brookline Community Center,91
49169856,2016-04-01,Ormsby Community Center,37
49169857,2016-04-01,Paulson Community Center,7
49169858,2016-04-01,Phillips Community Center,60
49169859,2016-04-01,West Penn Community Center,37
49169860,2016-04-01,Magee Community Center,48
49169861,2016-04-01,Jefferson Community Center,25
49169862,2016-03-31,Arlington Community Center,23
49169863,2016-03-31,Ammon Community Center,167
49169864,2016-03-31,Brookline Community Center,92
49169865,2016-03-31,Ormsby Community Center,49
49169866,2016-03-31,Phillips Community Center,93
49169867,2016-03-31,West Penn Community Center,123
49169868,2016-03-31,Jefferson Community Center,21
49169869,2016-03-31,Magee Community Center,51
49169870,2016-03-30,Ammon Community Center,175
49169871,2016-03-30,Arlington Community Center,15
49169872,2016-03-30,Brookline Community Center,80
49169873,2016-03-30,Ormsby Community Center,47
49169874,2016-03-30,Paulson Community Center,27
49169875,2016-03-30,Phillips Community Center,42
49169876,2016-03-30,West Penn Community Center,130
49169877,2016-03-30,Magee Community Center,40
49169878,2016-03-30,Jefferson Community Center,29
49169879,2016-03-29,Arlington Community Center,55
49169880,2016-03-29,Ammon Community Center,257
49169881,2016-03-29,Brookline Community Center,107
49169882,2016-03-29,Paulson Community Center,8
49169883,2016-03-29,Ormsby Community Center,52
49169884,2016-03-29,Phillips Community Center,80
49169885,2016-03-29,West Penn Community Center,74
49169886,2016-03-29,Warrington Community Center,2
49169887,2016-03-29,Jefferson Community Center,43
49169888,2016-03-29,Magee Community Center,67
49169889,2016-03-28,Arlington Community Center,27
49169890,2016-03-28,Brookline Community Center,120
49169891,2016-03-28,Ormsby Community Center,59
49169892,2016-03-28,Paulson Community Center,6
49169893,2016-03-28,Phillips Community Center,128
49169894,2016-03-28,Warrington Community Center,26
49169895,2016-03-28,West Penn Community Center,54
49169896,2016-03-28,Magee Community Center,46
49169897,2016-03-28,Jefferson Community Center,33
49169898,2016-03-24,Arlington Community Center,28
49169899,2016-03-24,Ammon Community Center,76
49169900,2016-03-24,Brookline Community Center,98
49169901,2016-03-24,Paulson Community Center,24
49169902,2016-03-24,Ormsby Community Center,44
49169903,2016-03-24,Phillips Community Center,80
49169904,2016-03-24,West Penn Community Center,127
49169905,2016-03-24,Warrington Community Center,35
49169906,2016-03-24,Jefferson Community Center,53
49169907,2016-03-24,Magee Community Center,66
49169908,2016-03-23,Ammon Community Center,85
49169909,2016-03-23,Arlington Community Center,16
49169910,2016-03-23,Brookline Community Center,144
49169911,2016-03-23,Ormsby Community Center,45
49169912,2016-03-23,Paulson Community Center,23
49169913,2016-03-23,Phillips Community Center,80
49169914,2016-03-23,Warrington Community Center,68
49169915,2016-03-23,West Penn Community Center,102
49169916,2016-03-23,Magee Community Center,54
49169917,2016-03-23,Jefferson Community Center,74
49169918,2016-03-22,Arlington Community Center,43
49169919,2016-03-22,Ammon Community Center,89
49169920,2016-03-22,Brookline Community Center,124
49169921,2016-03-22,Paulson Community Center,16
49169922,2016-03-22,Ormsby Community Center,50
49169923,2016-03-22,West Penn Community Center,93
49169924,2016-03-22,Warrington Community Center,52
49169925,2016-03-22,Jefferson Community Center,45
49169926,2016-03-22,Magee Community Center,65
49169927,2016-03-21,Ammon Community Center,88
49169928,2016-03-21,Arlington Community Center,11
49169929,2016-03-21,Brookline Community Center,162
49169930,2016-03-21,Ormsby Community Center,48
49169931,2016-03-21,Paulson Community Center,22
49169932,2016-03-21,Warrington Community Center,79
49169933,2016-03-21,West Penn Community Center,93
49169934,2016-03-21,Magee Community Center,59
49169935,2016-03-21,Jefferson Community Center,58
49169936,2016-03-19,Arlington Community Center,9
49169937,2016-03-19,Ammon Community Center,11
49169938,2016-03-19,Brookline Community Center,65
49169939,2016-03-19,West Penn Community Center,30
49169940,2016-03-19,Magee Community Center,41
49169941,2016-03-18,Ammon Community Center,68
49169942,2016-03-18,Arlington Community Center,42
49169943,2016-03-18,Brookline Community Center,80
49169944,2016-03-18,Paulson Community Center,49
49169945,2016-03-18,Ormsby Community Center,35
49169946,2016-03-18,West Penn Community Center,53
49169947,2016-03-18,Warrington Community Center,64
49169948,2016-03-18,Magee Community Center,38
49169949,2016-03-18,Jefferson Community Center,70
49169950,2016-03-17,Arlington Community Center,69
49169951,2016-03-17,Ammon Community Center,113
49169952,2016-03-17,Brookline Community Center,76
49169953,2016-03-17,Ormsby Community Center,57
49169954,2016-03-17,Paulson Community Center,5
49169955,2016-03-17,Warrington Community Center,136
49169956,2016-03-17,West Penn Community Center,60
49169957,2016-03-17,Jefferson Community Center,46
49169958,2016-03-17,Magee Community Center,34
49169959,2016-03-16,Ammon Community Center,152
49169960,2016-03-16,Arlington Community Center,28
49169961,2016-03-16,Brookline Community Center,142
49169962,2016-03-16,Paulson Community Center,16
49169963,2016-03-16,Ormsby Community Center,65
49169964,2016-03-16,West Penn Community Center,103
49169965,2016-03-16,Warrington Community Center,86
49169966,2016-03-16,Magee Community Center,51
49169967,2016-03-16,Jefferson Community Center,17
49169968,2016-03-15,Arlington Community Center,65
49169969,2016-03-15,Ammon Community Center,110
49169970,2016-03-15,Brookline Community Center,92
49169971,2016-03-15,Ormsby Community Center,51
49169972,2016-03-15,Paulson Community Center,12
49169973,2016-03-15,Phillips Community Center,59
49169974,2016-03-15,Warrington Community Center,79
49169975,2016-03-15,West Penn Community Center,73
49169976,2016-03-15,Jefferson Community Center,44
49169977,2016-03-15,Magee Community Center,42
49169978,2016-03-14,Ammon Community Center,146
49169979,2016-03-14,Arlington Community Center,19
49169980,2016-03-14,Brookline Community Center,104
49169981,2016-03-14,Paulson Community Center,16
49169982,2016-03-14,Ormsby Community Center,51
49169983,2016-03-14,Phillips Community Center,148
49169984,2016-03-14,West Penn Community Center,75
49169985,2016-03-14,Warrington Community Center,83
49169986,2016-03-14,Magee Community Center,39
49169987,2016-03-14,Jefferson Community Center,37
49169988,2016-03-12,Arlington Community Center,142
49169989,2016-03-12,Ammon Community Center,24
49169990,2016-03-12,Brookline Community Center,137
49169991,2016-03-12,Phillips Community Center,34
49169992,2016-03-12,West Penn Community Center,24
49169993,2016-03-12,Magee Community Center,22
49169994,2016-03-11,Ammon Community Center,99
49169995,2016-03-11,Arlington Community Center,20
49169996,2016-03-11,Brookline Community Center,111
49169997,2016-03-11,Ormsby Community Center,37
49169998,2016-03-11,Paulson Community Center,7
49169999,2016-03-11,Phillips Community Center,95
49170000,2016-03-11,West Penn Community Center,67
49170001,2016-03-11,Warrington Community Center,57
49170002,2016-03-11,Magee Community Center,44
49170003,2016-03-11,Jefferson Community Center,36
49170004,2016-03-10,Arlington Community Center,84
49170005,2016-03-10,Ammon Community Center,100
49170006,2016-03-10,Brookline Community Center,109
49170007,2016-03-10,Paulson Community Center,8
49170008,2016-03-10,Ormsby Community Center,58
49170009,2016-03-10,Phillips Community Center,99
49170010,2016-03-10,Warrington Community Center,68
49170011,2016-03-10,West Penn Community Center,78
49170012,2016-03-10,Jefferson Community Center,22
49170013,2016-03-10,Magee Community Center,64
49170014,2016-03-09,Ammon Community Center,150
49170015,2016-03-09,Arlington Community Center,25
49170016,2016-03-09,Brookline Community Center,114
49170017,2016-03-09,Ormsby Community Center,58
49170018,2016-03-09,Paulson Community Center,19
49170019,2016-03-09,Phillips Community Center,113
49170020,2016-03-09,West Penn Community Center,80
49170021,2016-03-09,Warrington Community Center,62
49170022,2016-03-09,Magee Community Center,40
49170023,2016-03-09,Jefferson Community Center,48
49170024,2016-03-08,Arlington Community Center,42
49170025,2016-03-08,Ammon Community Center,43
49170026,2016-03-08,Brookline Community Center,102
49170027,2016-03-08,Paulson Community Center,13
49170028,2016-03-08,Ormsby Community Center,49
49170029,2016-03-08,Phillips Community Center,97
49170030,2016-03-08,Warrington Community Center,80
49170031,2016-03-08,West Penn Community Center,99
49170032,2016-03-08,Jefferson Community Center,31
49170033,2016-03-08,Magee Community Center,69
49170034,2016-03-07,Ammon Community Center,141
49170035,2016-03-07,Arlington Community Center,14
49170036,2016-03-07,Brookline Community Center,122
49170037,2016-03-07,Ormsby Community Center,60
49170038,2016-03-07,Phillips Community Center,137
49170039,2016-03-07,West Penn Community Center,96
49170040,2016-03-07,Warrington Community Center,98
49170041,2016-03-07,Magee Community Center,71
49170042,2016-03-07,Jefferson Community Center,44
49170043,2016-03-05,Ammon Community Center,2
49170044,2016-03-05,Brookline Community Center,141
49170045,2016-03-05,Ormsby Community Center,29
49170046,2016-03-05,Phillips Community Center,57
49170047,2016-03-05,West Penn Community Center,25
49170048,2016-03-05,Magee Community Center,9
49170049,2016-03-04,Ammon Community Center,21
49170050,2016-03-04,Arlington Community Center,21
49170051,2016-03-04,Brookline Community Center,101
49170052,2016-03-04,Ormsby Community Center,46
49170053,2016-03-04,Paulson Community Center,13
49170054,2016-03-04,Phillips Community Center,101
49170055,2016-03-04,West Penn Community Center,62
49170056,2016-03-04,Warrington Community Center,72
49170057,2016-03-04,Magee Community Center,50
49170058,2016-03-04,Jefferson Community Center,14
49170059,2016-03-03,Arlington Community Center,2
49170060,2016-03-03,Ammon Community Center,58
49170061,2016-03-03,Brookline Community Center,126
49170062,2016-03-03,Paulson Community Center,13
49170063,2016-03-03,Ormsby Community Center,50
49170064,2016-03-03,Phillips Community Center,122
49170065,2016-03-03,Warrington Community Center,100
49170066,2016-03-03,West Penn Community Center,133
49170067,2016-03-03,Jefferson Community Center,5
49170068,2016-03-03,Magee Community Center,57
49170069,2016-03-02,Ammon Community Center,59
49170070,2016-03-02,Arlington Community Center,38
49170071,2016-03-02,Brookline Community Center,126
49170072,2016-03-02,Ormsby Community Center,70
49170073,2016-03-02,Paulson Community Center,18
49170074,2016-03-02,Phillips Community Center,159
49170075,2016-03-02,West Penn Community Center,85
49170076,2016-03-02,Warrington Community Center,92
49170077,2016-03-02,Magee Community Center,54
49170078,2016-03-02,Jefferson Community Center,30
49170079,2016-03-01,Arlington Community Center,15
49170080,2016-03-01,Ammon Community Center,44
49170081,2016-03-01,Brookline Community Center,120
49170082,2016-03-01,Paulson Community Center,25
49170083,2016-03-01,Ormsby Community Center,51
49170084,2016-03-01,Phillips Community Center,108
49170085,2016-03-01,Warrington Community Center,96
49170086,2016-03-01,West Penn Community Center,80
49170087,2016-03-01,Jefferson Community Center,36
49170088,2016-03-01,Magee Community Center,78
49170089,2016-02-29,Ammon Community Center,86
49170090,2016-02-29,Arlington Community Center,26
49170091,2016-02-29,Brookline Community Center,113
49170092,2016-02-29,Ormsby Community Center,47
49170093,2016-02-29,Paulson Community Center,23
49170094,2016-02-29,Phillips Community Center,202
49170095,2016-02-29,West Penn Community Center,57
49170096,2016-02-29,Warrington Community Center,103
49170097,2016-02-29,Magee Community Center,86
49170098,2016-02-29,Jefferson Community Center,26
49170099,2016-02-27,Brookline Community Center,136
49170100,2016-02-27,Ormsby Community Center,11
49170101,2016-02-27,Phillips Community Center,46
49170102,2016-02-27,West Penn Community Center,28
49170103,2016-02-27,Magee Community Center,10
49170104,2016-02-26,Arlington Community Center,13
49170105,2016-02-26,Ammon Community Center,33
49170106,2016-02-26,Brookline Community Center,96
49170107,2016-02-26,Ormsby Community Center,43
49170108,2016-02-26,Paulson Community Center,23
49170109,2016-02-26,Phillips Community Center,121
49170110,2016-02-26,West Penn Community Center,61
49170111,2016-02-26,Warrington Community Center,92
49170112,2016-02-26,Magee Community Center,43
49170113,2016-02-26,Jefferson Community Center,23
49170114,2016-02-25,Ammon Community Center,61
49170115,2016-02-25,Arlington Community Center,9
49170116,2016-02-25,Brookline Community Center,94
49170117,2016-02-25,Paulson Community Center,22
49170118,2016-02-25,Ormsby Community Center,158
49170119,2016-02-25,Phillips Community Center,86
49170120,2016-02-25,Warrington Community Center,95
49170121,2016-02-25,West Penn Community Center,122
49170122,2016-02-25,Jefferson Community Center,19
49170123,2016-02-25,Magee Community Center,30
49170124,2016-02-24,Arlington Community Center,28
49170125,2016-02-24,Ammon Community Center,47
49170126,2016-02-24,Brookline Community Center,133
49170127,2016-02-24,Ormsby Community Center,70
49170128,2016-02-24,Paulson Community Center,18
49170129,2016-02-24,Phillips Community Center,102
49170130,2016-02-24,West Penn Community Center,87
49170131,2016-02-24,Warrington Community Center,75
49170132,2016-02-24,Magee Community Center,66
49170133,2016-02-24,Jefferson Community Center,12
49170134,2016-02-23,Ammon Community Center,43
49170135,2016-02-23,Arlington Community Center,24
49170136,2016-02-23,Brookline Community Center,103
49170137,2016-02-23,Paulson Community Center,58
49170138,2016-02-23,Ormsby Community Center,63
49170139,2016-02-23,Phillips Community Center,92
49170140,2016-02-23,Warrington Community Center,94
49170141,2016-02-23,West Penn Community Center,95
49170142,2016-02-23,Jefferson Community Center,21
49170143,2016-02-23,Magee Community Center,66
49170144,2016-02-22,Arlington Community Center,38
49170145,2016-02-22,Ammon Community Center,47
49170146,2016-02-22,Brookline Community Center,115
49170147,2016-02-22,Ormsby Community Center,47
49170148,2016-02-22,Paulson Community Center,15
49170149,2016-02-22,Phillips Community Center,164
49170150,2016-02-22,West Penn Community Center,86
49170151,2016-02-22,Warrington Community Center,94
49170152,2016-02-22,Magee Community Center,68
49170153,2016-02-22,Jefferson Community Center,71
49170154,2016-02-20,Ammon Community Center,39
49170155,2016-02-20,Arlington Community Center,4
49170156,2016-02-20,Brookline Community Center,146
49170157,2016-02-20,Ormsby Community Center,18
49170158,2016-02-20,Phillips Community Center,35
49170159,2016-02-20,West Penn Community Center,21
49170160,2016-02-20,Magee Community Center,27
49170161,2016-02-19,Arlington Community Center,15
49170162,2016-02-19,Ammon Community Center,67
49170163,2016-02-19,Brookline Community Center,81
49170164,2016-02-19,Ormsby Community Center,20
49170165,2016-02-19,Phillips Community Center,81
49170166,2016-02-19,West Penn Community Center,60
49170167,2016-02-19,Warrington Community Center,81
49170168,2016-02-19,Magee Community Center,75
49170169,2016-02-19,Jefferson Community Center,17
49170170,2016-02-18,Ammon Community Center,159
49170171,2016-02-18,Arlington Community Center,10
49170172,2016-02-18,Brookline Community Center,107
49170173,2016-02-18,Ormsby Community Center,40
49170174,2016-02-18,Phillips Community Center,78
49170175,2016-02-18,Warrington Community Center,81
49170176,2016-02-18,West Penn Community Center,112
49170177,2016-02-18,Jefferson Community Center,19
49170178,2016-02-18,Magee Community Center,41
49170179,2016-02-17,Arlington Community Center,28
49170180,2016-02-17,Ammon Community Center,132
49170181,2016-02-17,Brookline Community Center,122
49170182,2016-02-17,Ormsby Community Center,57
49170183,2016-02-17,Phillips Community Center,80
49170184,2016-02-17,West Penn Community Center,74
49170185,2016-02-17,Warrington Community Center,50
49170186,2016-02-17,Magee Community Center,76
49170187,2016-02-17,Jefferson Community Center,27
49170188,2016-02-16,Ammon Community Center,33
49170189,2016-02-16,Arlington Community Center,11
49170190,2016-02-16,Brookline Community Center,112
49170191,2016-02-16,Ormsby Community Center,44
49170192,2016-02-16,Phillips Community Center,90
49170193,2016-02-16,Warrington Community Center,78
49170194,2016-02-16,West Penn Community Center,89
49170195,2016-02-16,Jefferson Community Center,15
49170196,2016-02-16,Magee Community Center,75
49170197,2016-02-15,Arlington Community Center,36
49170198,2016-02-15,Ammon Community Center,68
49170199,2016-02-15,Brookline Community Center,74
49170200,2016-02-15,Ormsby Community Center,40
49170201,2016-02-15,Phillips Community Center,104
49170202,2016-02-15,West Penn Community Center,47
49170203,2016-02-15,Warrington Community Center,107
49170204,2016-02-15,Magee Community Center,79
49170205,2016-02-15,Jefferson Community Center,20
49170206,2016-02-13,Ammon Community Center,19
49170207,2016-02-13,Brookline Community Center,130
49170208,2016-02-13,Ormsby Community Center,20
49170209,2016-02-13,Phillips Community Center,12
49170210,2016-02-13,West Penn Community Center,18
49170211,2016-02-13,Magee Community Center,23
49170212,2016-02-12,Ammon Community Center,49
49170213,2016-02-12,Arlington Community Center,10
49170214,2016-02-12,Brookline Community Center,92
49170215,2016-02-12,Ormsby Community Center,48
49170216,2016-02-12,Phillips Community Center,73
49170217,2016-02-12,West Penn Community Center,60
49170218,2016-02-12,Warrington Community Center,71
49170219,2016-02-12,Magee Community Center,77
49170220,2016-02-12,Jefferson Community Center,42
49170221,2016-02-11,Arlington Community Center,8
49170222,2016-02-11,Ammon Community Center,63
49170223,2016-02-11,Brookline Community Center,123
49170224,2016-02-11,Ormsby Community Center,35
49170225,2016-02-11,Phillips Community Center,90
49170226,2016-02-11,Warrington Community Center,73
49170227,2016-02-11,West Penn Community Center,127
49170228,2016-02-11,Jefferson Community Center,39
49170229,2016-02-11,Magee Community Center,28
49170230,2016-02-10,Ammon Community Center,62
49170231,2016-02-10,Arlington Community Center,11
49170232,2016-02-10,Brookline Community Center,94
49170233,2016-02-10,Ormsby Community Center,59
49170234,2016-02-10,Paulson Community Center,19
49170235,2016-02-10,Phillips Community Center,80
49170236,2016-02-10,West Penn Community Center,66
49170237,2016-02-10,Warrington Community Center,99
49170238,2016-02-10,Magee Community Center,51
49170239,2016-02-10,Jefferson Community Center,40
49170240,2016-02-09,Arlington Community Center,27
49170241,2016-02-09,Ammon Community Center,40
49170242,2016-02-09,Brookline Community Center,96
49170243,2016-02-09,Paulson Community Center,28
49170244,2016-02-09,Ormsby Community Center,72
49170245,2016-02-09,Phillips Community Center,84
49170246,2016-02-09,Warrington Community Center,76
49170247,2016-02-09,West Penn Community Center,84
49170248,2016-02-09,Jefferson Community Center,32
49170249,2016-02-09,Magee Community Center,59
49170250,2016-02-08,Ammon Community Center,45
49170251,2016-02-08,Arlington Community Center,24
49170252,2016-02-08,Brookline Community Center,134
49170253,2016-02-08,Ormsby Community Center,47
49170254,2016-02-08,Paulson Community Center,39
49170255,2016-02-08,Phillips Community Center,130
49170256,2016-02-08,West Penn Community Center,58
49170257,2016-02-08,Warrington Community Center,70
49170258,2016-02-08,Magee Community Center,69
49170259,2016-02-08,Jefferson Community Center,25
49170260,2016-02-06,Ammon Community Center,25
49170261,2016-02-06,Brookline Community Center,148
49170262,2016-02-06,Ormsby Community Center,21
49170263,2016-02-06,Phillips Community Center,48
49170264,2016-02-06,West Penn Community Center,30
49170265,2016-02-06,Magee Community Center,24
49170266,2016-02-05,Ammon Community Center,38
49170267,2016-02-05,Arlington Community Center,10
49170268,2016-02-05,Brookline Community Center,102
49170269,2016-02-05,Ormsby Community Center,58
49170270,2016-02-05,Phillips Community Center,79
49170271,2016-02-05,West Penn Community Center,56
49170272,2016-02-05,Warrington Community Center,66
49170273,2016-02-05,Magee Community Center,83
49170274,2016-02-05,Jefferson Community Center,41
49170275,2016-02-04,Arlington Community Center,5
49170276,2016-02-04,Ammon Community Center,71
49170277,2016-02-04,Brookline Community Center,134
49170278,2016-02-04,Ormsby Community Center,133
49170279,2016-02-04,Phillips Community Center,76
49170280,2016-02-04,Warrington Community Center,72
49170281,2016-02-04,West Penn Community Center,91
49170282,2016-02-04,Jefferson Community Center,17
49170283,2016-02-04,Magee Community Center,36
49170284,2016-02-03,Ammon Community Center,169
49170285,2016-02-03,Arlington Community Center,36
49170286,2016-02-03,Brookline Community Center,185
49170287,2016-02-03,Ormsby Community Center,74
49170288,2016-02-03,Paulson Community Center,15
49170289,2016-02-03,Phillips Community Center,135
49170290,2016-02-03,West Penn Community Center,76
49170291,2016-02-03,Warrington Community Center,74
49170292,2016-02-03,Magee Community Center,47
49170293,2016-02-03,Jefferson Community Center,19
49170294,2016-02-02,Arlington Community Center,39
49170295,2016-02-02,Ammon Community Center,65
49170296,2016-02-02,Brookline Community Center,127
49170297,2016-02-02,Ormsby Community Center,59
49170298,2016-02-02,Phillips Community Center,124
49170299,2016-02-02,Warrington Community Center,63
49170300,2016-02-02,West Penn Community Center,76
49170301,2016-02-02,Jefferson Community Center,30
49170302,2016-02-02,Magee Community Center,44
49170303,2016-02-01,Ammon Community Center,120
49170304,2016-02-01,Arlington Community Center,63
49170305,2016-02-01,Brookline Community Center,128
49170306,2016-02-01,Ormsby Community Center,44
49170307,2016-02-01,Phillips Community Center,152
49170308,2016-02-01,West Penn Community Center,95
49170309,2016-02-01,Warrington Community Center,92
49170310,2016-02-01,Magee Community Center,59
49170311,2016-02-01,Jefferson Community Center,61
49170312,2016-01-30,Ammon Community Center,26
49170313,2016-01-30,Brookline Community Center,125
49170314,2016-01-30,Ormsby Community Center,32
49170315,2016-01-30,Phillips Community Center,45
49170316,2016-01-30,West Penn Community Center,27
49170317,2016-01-30,Magee Community Center,3
49170318,2016-01-29,Ammon Community Center,92
49170319,2016-01-29,Arlington Community Center,30
49170320,2016-01-29,Brookline Community Center,116
49170321,2016-01-29,Ormsby Community Center,33
49170322,2016-01-29,Phillips Community Center,66
49170323,2016-01-29,West Penn Community Center,58
49170324,2016-01-29,Warrington Community Center,55
49170325,2016-01-29,Magee Community Center,66
49170326,2016-01-29,Jefferson Community Center,26
49170327,2016-01-28,Arlington Community Center,35
49170328,2016-01-28,Ammon Community Center,55
49170329,2016-01-28,Brookline Community Center,108
49170330,2016-01-28,Ormsby Community Center,261
49170331,2016-01-28,Phillips Community Center,105
49170332,2016-01-28,Warrington Community Center,55
49170333,2016-01-28,West Penn Community Center,128
49170334,2016-01-28,Jefferson Community Center,27
49170335,2016-01-28,Magee Community Center,25
49170336,2016-01-27,Ammon Community Center,51
49170337,2016-01-27,Arlington Community Center,46
49170338,2016-01-27,Brookline Community Center,157
