_id,date,center_name,attendance_count
49150673,2025-10-20,Brookline Community Center,37
49150674,2025-10-20,Arlington Community Center,13
49150675,2025-10-20,Ormsby Community Center,16
49150676,2025-10-20,Phillips Community Center,66
49150677,2025-10-20,Paulson Community Center,13
49150678,2025-10-20,Warrington Community Center,42
49150679,2025-10-20,Jefferson Community Center,59
49150680,2025-10-20,Magee Community Center,24
49150681,2025-10-20,West Penn Community Center,58
49150682,2025-10-18,Phillips Community Center,2
49150683,2025-10-18,Warrington Community Center,7
49150684,2025-10-18,Magee Community Center,5
49150685,2025-10-18,West Penn Community Center,56
49150686,2025-10-17,Arlington Community Center,19
49150687,2025-10-17,Brookline Community Center,19
49150688,2025-10-17,Ormsby Community Center,4
49150689,2025-10-17,Phillips Community Center,36
49150690,2025-10-17,Paulson Community Center,1
49150691,2025-10-17,Warrington Community Center,40
49150692,2025-10-17,Magee Community Center,16
49150693,2025-10-17,Jefferson Community Center,28
49150694,2025-10-17,West Penn Community Center,35
49150695,2025-10-16,Ammon Community Center,17
49150696,2025-10-16,Brookline Community Center,30
49150697,2025-10-16,Arlington Community Center,8
49150698,2025-10-16,Ormsby Community Center,12
49150699,2025-10-16,Paulson Community Center,14
49150700,2025-10-16,Phillips Community Center,56
49150701,2025-10-16,Warrington Community Center,31
49150702,2025-10-16,Jefferson Community Center,62
49150703,2025-10-16,Magee Community Center,10
49150704,2025-10-16,West Penn Community Center,81
49150705,2025-10-15,Ammon Community Center,26
49150706,2025-10-15,Arlington Community Center,58
49150707,2025-10-15,Brookline Community Center,17
49150708,2025-10-15,Ormsby Community Center,11
49150709,2025-10-15,Phillips Community Center,70
49150710,2025-10-15,Paulson Community Center,14
49150711,2025-10-15,Warrington Community Center,36
49150712,2025-10-15,Magee Community Center,11
49150713,2025-10-15,Jefferson Community Center,61
49150714,2025-10-15,West Penn Community Center,75
49150715,2025-10-14,Ammon Community Center,12
49150716,2025-10-14,Brookline Community Center,56
49150717,2025-10-14,Arlington Community Center,17
49150718,2025-10-14,Ormsby Community Center,13
49150719,2025-10-14,Paulson Community Center,13
49150720,2025-10-14,Phillips Community Center,63
49150721,2025-10-14,Warrington Community Center,37
49150722,2025-10-14,Jefferson Community Center,57
49150723,2025-10-14,Magee Community Center,13
49150724,2025-10-14,West Penn Community Center,73
49150725,2025-10-13,Ammon Community Center,20
49150726,2025-10-13,Arlington Community Center,12
49150727,2025-10-13,Brookline Community Center,31
49150728,2025-10-13,Ormsby Community Center,13
49150729,2025-10-13,Phillips Community Center,75
49150730,2025-10-13,Paulson Community Center,1
49150731,2025-10-13,Warrington Community Center,43
49150732,2025-10-13,Magee Community Center,16
49150733,2025-10-13,Jefferson Community Center,29
49150734,2025-10-13,West Penn Community Center,45
49150735,2025-10-11,Phillips Community Center,4
49150736,2025-10-11,Warrington Community Center,8
49150737,2025-10-11,Magee Community Center,3
49150738,2025-10-11,West Penn Community Center,38
49150739,2025-10-10,Ammon Community Center,17
49150740,2025-10-10,Brookline Community Center,21
49150741,2025-10-10,Arlington Community Center,21
49150742,2025-10-10,Ormsby Community Center,3
49150743,2025-10-10,Phillips Community Center,15
49150744,2025-10-10,Paulson Community Center,11
49150745,2025-10-10,Warrington Community Center,48
49150746,2025-10-10,Magee Community Center,23
49150747,2025-10-10,Jefferson Community Center,45
